Ticker,DTW_LSTM,DTW_ARIMA,DTW_Ensemble
TECHM.NS,202.19792990293746,242.99443298041408,207.4076814413836
M&M.NS,141.0877136803469,491.7655596064749,226.61769493601875
WIPRO.NS,233.9316764386028,61.65368490932203,87.75718434430351
SBIN.NS,129.4702780679251,84.64393392837317,38.739923076211404
BAJFINANCE.NS,1384.4979302736128,1177.8295293766826,1245.517701168627
INFY.NS,517.1608293787875,330.9640730293437,387.49388101391077
KOTAKBANK.NS,124.28137856882385,432.26368537134624,212.13280110679273
TRENT.NS,1883.705376664377,336.5031533689775,926.6000308077231
BAJAJFINSV.NS,256.7605503496528,292.9824660661113,161.59658450519848
SHRIRAMFIN.NS,935.1938064356114,913.1143901719436,923.2726801418586
ADANIPORTS.NS,1029.6022659965706,593.7871165132818,738.9839990784335
TATAMOTORS.NS,545.9610806478754,89.53861365895678,302.55212836406054
AXISBANK.NS,163.75202696797794,126.91219528598076,144.35690050499784
COALINDIA.NS,189.61372310492717,51.522807845464236,116.20929064544165
HCLTECH.NS,680.4039762353638,279.72958401599436,402.6695307946818
BRITANNIA.NS,983.9696556067626,1009.250744426685,357.0803423171417
ICICIBANK.NS,131.46862015616713,51.64666056769637,50.573156479309255
LT.NS,1451.8026699963118,250.7599264654811,642.1514832736838
CIPLA.NS,476.0463143995696,315.150720221397,401.40234924638895
NTPC.NS,150.55672530580222,24.111608651946725,58.10188023532709
BHARTIARTL.NS,589.0740447825982,314.4991815698031,429.5637074351375
NESTLEIND.NS,432.103950269969,564.7011804521863,369.6251459806497
TATACONSUM.NS,782.5717324417958,166.80383347812963,471.43544181304156
HEROMOTOCO.NS,2532.687453069403,1041.2674376683613,1539.1616501355486
APOLLOHOSP.NS,3133.0115216977097,1164.6800826683054,2087.8409868852045
BEL.NS,151.88005446711227,10.036057641619234,76.33602847978302
HDFCBANK.NS,515.1227673612883,739.3905570862381,608.8604305666255
HINDALCO.NS,256.0855673636526,199.84571775120628,67.03686176387973
TCS.NS,1090.0824211843524,367.71577755687576,514.52084496118
SBILIFE.NS,125.97673116184116,125.07643959156627,113.77322412683672
POWERGRID.NS,62.026215917139496,32.84446207488996,38.14152083385362
ULTRACEMCO.NS,3397.832458213291,2648.1468129108075,756.7179604559648
ADANIENT.NS,2226.7835849560743,588.679028983198,1311.268706084959
HDFCLIFE.NS,291.9523634051001,179.77066922191855,232.83278800279064
GRASIM.NS,320.35420206412357,234.26312411294433,83.80564735738051
ITC.NS,82.73398891198939,42.68654443123602,58.494288253521724
DRREDDY.NS,825.7501022019546,400.9500150104399,495.4169443344279
RELIANCE.NS,1048.8430137402106,520.355660106011,724.7801521478377
ONGC.NS,126.13604865240032,106.8322120075669,115.425848567631
JSWSTEEL.NS,126.93014442146338,284.89205798296,149.3163439857801
EICHERMOT.NS,1096.0420120956448,1714.9543441661008,1331.1572663172192
TITAN.NS,1567.119792428621,246.6620532311442,860.0921051183686
SUNPHARMA.NS,568.2733076730561,295.08780674068726,416.4643248313057
INDUSINDBK.NS,424.53797115951306,298.3529636144545,321.58389634393467
BPCL.NS,89.18712378128511,44.607711382285835,57.155919325750624
MARUTI.NS,631.9968838779644,1435.5799223251543,965.2443496140725
TATASTEEL.NS,14.520427310103823,27.43499104393236,10.607665352313475
BAJAJ-AUTO.NS,4358.502584286415,1718.5909566008193,2654.7622535428354
ASIANPAINT.NS,774.4406318204941,1139.834177354301,907.7501290135583
HINDUNILVR.NS,331.90197669461367,653.1284772385914,423.9001974260218
