Ticker,ARIMA RMSE,LSTM RMSE
TECHM.NS,0.5674587395829891,0.43534202634105723
M&M.NS,1.2833525853041656,0.48201416963228877
WIPRO.NS,0.8651537445900749,0.41442070265128605
SBIN.NS,0.9666299757125707,0.4634155845584731
BAJFINANCE.NS,0.6762225531702385,0.7650007752082334
INFY.NS,0.351220956199191,0.7013127613937836
KOTAKBANK.NS,1.268278984008743,0.49588102308358817
TRENT.NS,0.2203850729355757,1.0872322039874833
BAJAJFINSV.NS,0.8542034986499016,0.6037877789921594
SHRIRAMFIN.NS,0.12153259039107557,0.9561985876073084
ADANIPORTS.NS,0.5205377091214234,1.1299938959975815
TATAMOTORS.NS,0.36859294384393465,0.6433475682074592
AXISBANK.NS,0.71232138503839,0.33416725211748816
COALINDIA.NS,0.4915717301903251,0.7675489980155362
HCLTECH.NS,0.33881271662865864,0.5683044253834277
BRITANNIA.NS,1.1332071379264328,0.4431502330770496
ICICIBANK.NS,0.6058126558511913,0.3547994089730358
LT.NS,0.42805138531113435,0.5804671093518325
CIPLA.NS,0.23989041628473806,0.9489734510034367
NTPC.NS,0.602847910609224,0.7038946977956919
BHARTIARTL.NS,0.10308465263536408,1.0019773887612924
NESTLEIND.NS,1.2328008812524733,0.3997768850910023
TATACONSUM.NS,0.2243836542626789,1.415847561693399
HEROMOTOCO.NS,0.3562883238777486,0.6540945016123978
APOLLOHOSP.NS,0.2378366227548986,0.9705558303621653
BEL.NS,0.3947331571322617,0.7678002731165923
HDFCBANK.NS,1.11746145162189,0.5912387758008822
HINDALCO.NS,1.0413662464806577,0.46831584547183064
TCS.NS,0.5716610847898695,0.3524648147763564
SBILIFE.NS,0.809303901519318,0.34909784852791226
POWERGRID.NS,1.012556173374517,0.5455413462573487
ULTRACEMCO.NS,1.1935934282222327,0.3283998535456078
ADANIENT.NS,0.48481470936161675,0.5626777869734394
HDFCLIFE.NS,1.104600535597852,0.7573320593398633
GRASIM.NS,1.0688641866051403,0.28029269575864335
ITC.NS,0.7542927191564175,0.6498985513765522
DRREDDY.NS,0.807331651292226,0.35220810176744294
RELIANCE.NS,0.26380781884802534,0.9016510671175739
ONGC.NS,0.13976748547405632,0.8351216397186578
JSWSTEEL.NS,1.2104518719400998,0.3474455994198463
EICHERMOT.NS,1.218718790847836,0.3999067352175921
TITAN.NS,0.2638315246565871,0.959822596478578
SUNPHARMA.NS,0.14944033704899617,0.9554772851057787
INDUSINDBK.NS,0.7667542389510443,0.6982900335771963
BPCL.NS,0.28212376117867316,0.47324346194996975
MARUTI.NS,1.2154924141080448,0.8417839074272525
TATASTEEL.NS,1.068997493110195,0.45234267070303896
BAJAJ-AUTO.NS,0.16842471482847887,0.8855837429721386
ASIANPAINT.NS,1.0935258375574175,0.5964562426496819
HINDUNILVR.NS,1.0115059106533462,0.44138759226765734
